Date,EUR,JPY,GBP,CNY
2016-01-01,0.920961,120.3742,0.678607,6.49376
2016-01-02,0.920862,120.498299,0.677491,6.504246
2016-01-03,0.920289,120.2663,0.678475,6.502476
2016-01-04,0.923285,119.515299,0.679566,6.532516
2016-01-05,0.930028,119.1529,0.68132,6.522249
2016-01-06,0.92771,118.6248,0.683499,6.541367
2016-01-07,0.915366,117.8455,0.683951,6.5716
2016-01-08,0.915336,117.4376,0.688751,6.585147
2016-01-09,0.915399,117.453,0.688751,6.586201
2016-01-10,0.914814,116.876901,0.6889,6.58321
2016-01-11,0.920698,117.6596,0.687321,6.572276
2016-01-12,0.921442,117.6426,0.692697,6.570078
2016-01-13,0.919302,117.6693,0.69393,6.576244
2016-01-14,0.920255,118.1295,0.693662,6.586902
2016-01-15,0.916278,117.143001,0.701436,6.581306
2016-01-16,0.916268,117.086201,0.701436,6.581094
2016-01-17,0.916103,116.8787,0.701441,6.575486
2016-01-18,0.918217,117.2976,0.701969,6.57013
2016-01-19,0.916607,117.548999,0.706178,6.567754
2016-01-20,0.918222,117.096101,0.704754,6.578702
2016-01-21,0.920069,117.620499,0.703261,6.580105
2016-01-22,0.926152,118.381875,0.700919,6.579358
2016-01-23,0.926152,118.63325,0.700919,6.579465
2016-01-24,0.926321,118.7572,0.700737,6.579818
2016-01-25,0.921652,118.424001,0.701957,6.57083
2016-01-26,0.920335,118.454875,0.696926,6.567951
2016-01-27,0.917404,118.543999,0.702039,6.570292
2016-01-28,0.914078,118.7306,0.696476,6.568419
2016-01-29,0.923297,120.649401,0.701976,6.576172
2016-01-30,0.923297,120.965101,0.702,6.575917
2016-01-31,0.923322,121.2393,0.702206,6.576546
2016-02-01,0.918241,121.0339,0.693213,6.57627
2016-02-02,0.915409,120.0828,0.693864,6.580633
2016-02-03,0.902082,118.5587,0.685419,6.577441
2016-02-04,0.892679,117.3245,0.685892,6.568651
2016-02-05,0.896115,116.9879,0.689551,6.574537
2016-02-06,0.896115,116.8519,0.689551,6.574047
2016-02-07,0.896687,116.9387,0.689762,6.576519
2016-02-08,0.892962,115.8644,0.692938,6.573759
2016-02-09,0.885833,115.4185,0.690966,6.556172
2016-02-10,0.886449,113.811901,0.688169,6.573877
2016-02-11,0.883493,112.904799,0.690543,6.573538
